,prn,sqrt_semi_major_axis,essentricity,inclination,OMEGA,omega,mean_anomaly
24,15,2.6560205376201522,0.009978451668420624,13.313391958904504,144.36071062311618,36.717575000524754,354.1842810045466
25,15,2.656024394404715,0.009980097338631722,13.313391958904504,144.3584289403605,36.72524248892149,54.360787042667795
26,15,2.6560259805236877,0.009980940305788012,13.313391958904504,144.35823329891014,36.728424709153565,114.52730796744841
27,24,2.6560278972820335,0.0063671652104628045,13.313391958904504,206.12481607237112,27.67962738282159,233.1789101416434
28,24,2.6560254887829093,0.006367260528997406,13.313391958904504,206.32781805625672,27.69000253546843,293.33936900334675
29,24,2.656025048327762,0.006367219437391369,13.313391958904504,206.51539574333265,27.690257000339116,353.51195825752455
30,24,2.6560268759581414,0.006368365149329485,13.313391958904504,206.6596816628275,27.694897613784132,53.67872950172829
31,24,2.656028681781515,0.006369030453091775,13.313391958904504,207.42501468775822,27.711143799576888,114.86276599587625
32,20,2.656125693570163,0.004651880042867887,13.313391958904504,82.92384508228805,99.12063135554145,281.2959966062516
33,20,2.656120704147849,0.00465049383915098,13.313391958904504,82.92015739277981,99.13521023391013,341.450711820454
34,20,2.656125781076322,0.0046508403171019435,13.313391958904504,82.92070259560522,99.14003947900004,41.6187193023735
35,20,2.6561242249255015,0.004650786269287125,13.313391958904504,82.91426700836716,99.13612828047657,101.78283624293128
36,20,2.6561261320100638,0.004649914533235982,13.313391958904504,82.88746113546568,99.17477019371775,223.09955724839202
37,19,2.6560546855316947,0.009804625647148459,13.313391958904504,332.0524113782011,62.869016078951475,152.06235446093544
38,19,2.656057813491478,0.009801792940216431,13.313391958904504,332.153263862326,62.877308511891826,273.41386278834153
39,19,2.6560578830880472,0.009802207558812585,13.313391958904504,332.60632808881047,62.87348479149746,333.58751035000154
40,19,2.6560554642271565,0.009799951730696187,13.313391958904504,332.13894801511873,62.87424762247504,33.75667181015086
41,19,2.656058152201347,0.00980090378890932,13.313391958904504,330.88950928466016,62.8849566521284,93.91730187459086
42,5,2.655953004561543,0.005279673842248524,13.313391958904504,87.17501056095203,36.17781421967153,25.05998963240153
43,5,2.6559540465957863,0.005279465467836609,13.313391958904504,87.2962168059988,36.184172225432924,85.22777619276694
44,5,2.6559510053812416,0.005279294751543424,13.313391958904504,88.27138544419289,36.1985754703466,266.7790313444549
45,5,2.6559516588976315,0.005279817304418718,13.313391958904504,86.98182009871711,36.19398360965069,326.9559052440036
46,6,2.65615285056916,0.0006847722254735508,13.313391958904504,26.868642525078293,286.4239160698098,232.64798547015997
47,6,2.656154436226263,0.0006874845886331554,13.313391958904504,26.96791466555924,286.6501284127447,53.91282938069181
48,6,2.656155558290049,0.0006873244791338156,13.313391958904504,26.98535568693645,286.69479050942755,114.05479564983362
49,6,2.656155609488064,0.000687429969936693,13.313391958904504,25.596628393703142,286.7197915774282,174.19629186148896
50,2,2.655985412484365,0.017355242150103468,13.313391958904504,24.588855102014737,249.216207853549,184.66271957813294
51,2,2.655986698669038,0.017355283157427057,13.313391958904504,24.645261941804613,249.22181314476146,243.621974472325
52,2,2.6559846961953717,0.017354906224950596,13.313391958904504,24.69578919125624,249.22306937833787,301.58131202577806
53,2,2.655983444030173,0.017355890845994308,13.313391958904504,25.01841404602066,249.24191198464152,351.4881139277277
54,2,2.6559897833700155,0.017355894836779726,13.313391958904504,25.062607244992478,249.24497441985636,49.738504618870586
55,2,2.6559878906314855,0.01735498729743044,13.313391958904504,23.71487559035214,249.2466958874989,37.10842188742421
56,17,2.6560889528328637,0.012197023962377916,13.313391958904504,329.8972824504291,255.35347297638305,340.76865148599944
57,17,2.6560966634738183,0.012201785283001131,13.313391958904504,330.07753504591915,255.36303987247948,102.11601331926136
58,17,2.656095774631976,0.012201907366413802,13.313391958904504,330.0421155761699,255.36443814390216,162.2765320980974
59,17,2.6560964992673632,0.012202738771791118,13.313391958904504,330.1390565868805,255.36119552525244,222.60002335191962
60,17,2.6560951599579954,0.012203442385030934,13.313391958904504,328.8470562423442,255.36220594124717,282.4982617656851
61,21,2.655917206418505,0.02413166599368577,13.313391958904504,24.18807280653326,267.126858756501,181.11591761311578
62,21,2.655910189876987,0.024132864423502882,13.313391958904504,23.900167684199037,267.1291596688753,241.28797352332248
63,21,2.6559065098337453,0.0241329845178426,13.313391958904504,23.894282200656477,267.1337639687208,301.45953483460204
64,21,2.655905404600794,0.02413253481475785,13.313391958904504,23.905250008575756,267.13515632978965,1.6333000001459272
65,18,2.6559955895096325,0.018201860134139887,13.313391958904504,85.8492140658523,258.57558247242616,53.917783088107605
66,18,2.6560061684360394,0.018201880859927255,13.313391958904504,85.84548364684875,258.5799567622765,89.87494122620583
67,18,2.6559918790735493,0.018203286900947087,13.313391958904504,85.84238130546751,258.57858257038725,222.12847321208417
68,18,2.6559946331532527,0.01820346644855082,13.313391958904504,85.83915097120067,258.5793773288515,210.79465408762448
69,18,2.6559930566051517,0.0182037885106548,13.313391958904504,85.83573143148713,258.5830955688656,271.27842758984104
70,18,2.6559935753603705,0.018204418420259653,13.313391958904504,85.83224739531119,258.58121978938595,331.58208613112845
71,26,2.655931546508983,0.002305116758370393,13.313391958904504,267.92310265510906,355.1245929379984,213.43018235489333
72,26,2.655917941109209,0.002306122994777299,13.313391958904504,267.9199353603983,355.1533475906365,273.61335386933956
73,26,2.655911820440243,0.0023068022639529486,13.313391958904504,267.9166379556961,355.1193016094195,333.9484062258583
74,26,2.6559126432298084,0.002307248062115357,13.313391958904504,267.9133308470652,355.12798955955475,34.11936789096797
75,26,2.6559099934392387,0.0023080485101492445,13.313391958904504,267.91002441931226,355.1363928889331,94.25379789041052
76,26,2.65589691000328,0.002308423806613178,13.313391958904504,267.90710229919006,355.11997813632297,154.42485069138854
77,14,2.6560899900784,0.00925528138864685,13.313391958904504,153.21272803226478,248.13794880296626,84.49248198478138
78,14,2.6560803921171625,0.009255945147953,13.313391958904504,153.20817810852986,248.12829081108575,144.67301185744682
79,14,2.6560861959806417,0.009254067253183586,13.313391958904504,153.20479528153626,248.12838356210864,204.84306446306903
80,14,2.656087499661878,0.009254487293444979,13.313391958904504,153.20073675137368,248.1322783211633,265.01012160234325
81,14,2.6560886927343326,0.009255097023039272,13.313391958904504,153.19855503066987,248.1252194817725,325.1869178933342
82,32,2.655977011970742,0.0014965718859851016,13.313391958904504,148.38731417711747,207.93053636165428,144.69602336978377
83,32,2.65597759410595,0.0014979907843855368,13.313391958904504,148.3842627926832,207.9110562382342,204.8892912169672
84,32,2.6559792401703386,0.0014968282022645527,13.313391958904504,148.38120440919724,207.85480465203705,265.1212905164391
85,32,2.6559785244180265,0.0014965036045834102,13.313391958904504,148.37808749714762,207.87971169589306,325.26719648449085
86,32,2.6559804163947334,0.0014977642794344287,13.313391958904504,148.37489167695986,207.8673520901385,25.44340269584152
87,10,2.6560269376142074,0.003005672036168053,13.313391958904504,88.64097756784048,194.25750053148724,223.7262134831605
88,10,2.656023296312705,0.0030062479731223033,13.313391958904504,88.63857584374871,194.26438503160452,283.88928012268246
89,10,2.6560254440004774,0.003006253111771773,13.313391958904504,88.63529333717062,194.25979669309993,344.06633076715565
90,10,2.656027581886734,0.003007250276053509,13.313391958904504,88.63168595116647,194.27210628844588,44.091661228426524
91,10,2.656026220883597,0.0030074591356622628,13.313391958904504,88.62842350431056,194.25965572322812,104.40853263897732
92,8,2.656099880490463,0.002936484721951406,13.313391958904504,327.76507965961355,324.0408408265297,191.86398863500278
93,8,2.6560937712565815,0.0029381158963302364,13.313391958904504,327.9641808956463,324.0674113987792,252.00446986325866
94,8,2.6560967436295364,0.002939226098860145,13.313391958904504,328.343127082018,324.04071093782983,12.369380012405319
95,8,2.656099754118822,0.002940403048349177,13.313391958904504,328.52355616847444,324.05736589735415,72.52177705786269
96,8,2.656100031399396,0.002940653498509695,13.313391958904504,328.6688989020737,324.0373319826136,132.70886352193395
97,31,2.655920976808051,0.008763408683830019,13.313391958904504,210.5761229970004,347.92528320714507,347.2025072133232
98,31,2.655921053766963,0.008763449130211291,13.313391958904504,210.5731576000726,347.92630318349717,47.377518485093034
99,31,2.655922833427279,0.008763838366413777,13.313391958904504,210.5704921231064,347.93150302645876,107.54854447766023
100,31,2.6559237131016697,0.008763562156338398,13.313391958904504,210.56772319488638,347.9316344777327,167.7233467940102
101,27,2.6560076829919246,0.005107489957885787,13.313391958904504,328.1706587689254,20.957258284990953,166.942536189454
102,27,2.656030955711479,0.005108974759307574,13.313391958904504,328.382211284406,20.955262819034033,226.26104068310585
