,ds,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
10,2017-11-03 16:00:00,-4.725353802613106e-05,5.219313032687064e-12,0.0,70.0190213272005,-57.958191025276676,4.980663703487841e-09,2.8260664497943275,-3.0561107750657116e-06,0.0010907783680482854,6.43736556931249e-06,5153.619897239071,505716.303423019,-2.0712902845621473e-08,2.054211792648279,-1.6042744239592353e-08,0.9599735437685941,253.40441207286688,0.5699783989378316,-8.304111543755062e-09,-4.879886191856078e-10,1.0,1972.9992046285201,0.0,-0.03499209072173678,0.0,2.3283064365400003e-09,72.31894946686762,472082.100257456,0.0
11,2017-11-03 18:00:00,-4.7215635772851094e-05,5.2157733918551585e-12,0.0,80.27373835601198,-56.49201426035428,5.017270206506562e-09,-2.4068475372139932,-2.9356027155353694e-06,0.0010907308761418293,6.511521235503158e-06,5153.618541121733,528382.5223899938,5.4245304213293085e-08,2.0572916839319593,-5.24756296459104e-08,0.9599689321534693,252.44015405539082,0.5699699806972904,-8.354153804481761e-09,-4.1697561014181746e-10,1.0,1972.9998427246794,0.0,0.020166443420466328,0.0,2.3283064365400003e-09,78.83471663641873,491159.8481595648,0.0
12,2017-11-03 20:00:00,-4.717760781541401e-05,5.212232122739237e-12,0.0,83.13617511797172,-52.24346186597251,5.067297756890129e-09,-1.3574445576238607,-2.7283521499457605e-06,0.001090922096487659,6.3426627905049885e-06,5153.617714781602,554927.2218757601,1.0245823168306708e-08,2.0607946672704758,2.796790474954673e-08,0.9599655322044922,257.5797641612974,0.5706656986183136,-8.33815833243732e-09,-3.647134238154291e-10,1.0,1972.9999830318775,0.0,-0.041750306454046704,0.0,2.3283064365400003e-09,77.75019058802458,511953.14622541476,0.0
13,2017-11-03 22:00:00,-4.713976770149463e-05,5.247829592800517e-12,0.0,90.69374383250802,-54.08493083604641,4.999008132104351e-09,-0.30669199924426105,-2.7571561302317714e-06,0.0010915758939584479,6.1075664316859845e-06,5153.619935714653,571095.046445999,-3.3679036531496803e-09,2.062656587519321,1.3062132122154189e-08,0.9599624526707838,264.267365128559,0.5701599479367728,-8.324658518659999e-09,-4.01983959579053e-10,1.0,1973.0009307984951,0.0,0.04515155334207784,0.0,2.3283064365400003e-09,79.30300706245868,520125.2426127614,0.0
14,2017-11-04 00:00:00,-4.7101637430478784e-05,5.245491498463801e-12,0.0,93.01980366732244,-52.54554656717799,4.944822556725838e-09,0.7436833994435391,-2.9077339966111374e-06,0.0010918822028520457,5.932697458335626e-06,5153.620722389042,393365.57017452305,5.151966726881576e-09,2.025644996449357,9.199637240299501e-10,0.959958987128394,266.8815168556409,0.5700684083810522,-8.337846201537567e-09,-4.244017537008849e-10,1.0,1972.9963123629793,0.0,0.2832932005720878,0.0,2.3283064365400003e-09,80.4194926613636,541437.4976318034,0.0
15,2017-11-04 14:00:00,-4.683664836426926e-05,5.238661009540855e-12,0.0,78.03070113451523,-38.65893515133491,5.096107507967661e-09,1.8146749218617189,-2.0339902552419277e-06,0.001092822711570853,4.961962534113378e-06,5153.616275327972,539587.6377507268,-3.501868265128658e-08,2.043952563507713,2.6286507569954257e-08,0.9599331414993968,282.20486026165906,0.5673814640963989,-8.374927427856636e-09,-4.1540745212676193e-10,1.0,1973.0024124099978,0.0,0.007486307996163052,0.0,2.3283064365400003e-09,85.01403627366882,547277.4343746442,0.0
16,2017-11-04 16:00:00,-4.679849763924823e-05,5.241573714633991e-12,0.0,83.78069525059968,-36.66145885027022,5.115402104928111e-09,2.8655342492907536,-1.94644931109988e-06,0.0010934435924873762,5.221082490423139e-06,5153.615455563038,547937.5577331086,-2.7243112476391424e-08,2.0440267224431627,-1.3895757903442325e-08,0.9599305165763765,277.0130628473786,0.5667861658939104,-8.346446533768314e-09,-3.863016590903557e-10,1.0,1972.9996426696953,0.0,-0.037392868939908584,0.0,2.3283064365400003e-09,90.7664089659737,565694.3484608745,0.0
17,2017-11-04 18:00:00,-4.676041076589578e-05,5.249265718099637e-12,0.0,92.46118169695234,-34.82447084037522,5.148760582339523e-09,-2.367494999467406,-1.8053516074095934e-06,0.0010936467016658018,5.259878492065752e-06,5153.613542442714,538634.9594151928,4.7715092351211164e-08,2.040828549377176,-5.03286533922217e-08,0.9599274685062592,276.9142987477611,0.5667797247092902,-8.396956467664716e-09,-3.1528864165113935e-10,1.0,1972.9986133742539,0.0,0.017765666268525424,0.0,2.3283064365400003e-09,97.30277319217822,585268.0564703798,0.0
18,2017-11-04 20:00:00,-4.672249403836162e-05,5.257075837204361e-12,0.0,92.73508549961858,-30.364657898216766,5.192800955849152e-09,-1.3175937743955275,-1.585996666793427e-06,0.0010938009796711025,5.2100524326681935e-06,5153.612599075481,522184.92832287884,3.715609132936035e-09,2.0358946431958103,3.0114872410640654e-08,0.9599249155121887,279.484316727948,0.567199554851721,-8.38142866614263e-09,-2.630264468847561e-10,1.0,1972.9982983027203,0.0,-0.04415108263533958,0.0,2.3283064365400003e-09,96.23882272620726,598196.5460393642,0.0
19,2017-11-04 22:00:00,-4.6684460344566695e-05,5.3040246973719734e-12,0.0,96.89324847479594,-32.107561518716835,5.117448498862147e-09,-0.2670522744939121,-1.6092690403758939e-06,0.0010944149761301272,5.0812708783507246e-06,5153.61394488715,489023.76259024977,-9.8981208095481e-09,2.02805624471841,1.5209097740626543e-08,0.9599224615775469,284.0498016406413,0.5668253926591391,-8.368396523618413e-09,-3.0029698236180514e-10,1.0,1972.9983220331396,0.0,0.042750777934098275,0.0,2.3283064365400003e-09,97.7776029223398,578658.8693744426,0.0
20,2017-11-05 00:00:00,-4.66462148520337e-05,5.309403940459561e-12,0.0,95.19394278406962,-30.534469635910934,5.054928772480247e-09,0.7830538908033573,-1.7580105594924584e-06,0.0010950414250479202,4.988166133797191e-06,5153.61515085869,261965.3001796392,-1.3782926924000877e-09,1.9813443690397043,3.066929282727302e-09,0.9599206005248291,284.7044445629256,0.5668823537437424,-8.375133138392849e-09,-3.2271477618985535e-10,1.0,1973.006925493841,0.0,0.2808924264939293,0.0,2.3283064365400003e-09,95.29382355661838,540295.6794628393,0.0
21,2017-11-05 14:00:00,-4.63770912714897e-05,5.33988728696365e-12,0.0,52.0272811161748,-16.41557676028104,5.147874666551806e-09,1.853240834778508,-8.714138209757431e-07,0.0010971730005415812,4.584499515610069e-06,5153.617067998385,98952.77040232765,-4.1549236369359066e-08,1.9392302170477533,2.8433472805200814e-08,0.959906048036758,289.21885303787553,0.565104941741212,-8.3652066436912e-09,-3.1372047254460873e-10,1.0,1973.9898430417338,0.0,0.005085540118120971,0.0,2.3283064365400003e-09,53.21595181040033,127614.77788946069,0.0
22,2017-11-05 16:00:00,-4.6338821725854145e-05,5.342846327959526e-12,0.0,54.36515414092972,-14.384917417276263,5.1603829424559424e-09,2.904072377775804,-7.820367351710238e-07,0.0010979630991085076,4.8848362163667546e-06,5153.6164013614125,76764.87343435679,-3.377370819115927e-08,1.9333214043201823,-1.1748792699926844e-08,0.9599048144627796,283.44519981771543,0.5645376326274121,-8.330010968642277e-09,-2.846146793805302e-10,1.0,1974.0011485675936,0.0,-0.03979363600736295,0.0,2.3283064365400003e-09,52.692887185000245,86243.00062562128,0.0
23,2017-11-05 18:00:00,-4.630064090188905e-05,5.347024023928034e-12,0.0,60.60340517158148,-12.514746372723994,5.188633336168172e-09,-2.328998912361027,-6.391028882541008e-07,0.001098320301797024,4.879422366093407e-06,5153.60737938754,50102.10113466997,4.1184454850915454e-08,1.9267009666897892,-4.8181688221744266e-08,0.9599029862530407,284.4580099482497,0.5645580033720341,-8.373806129065422e-09,-2.136016618075429e-10,1.0,1974.0023471656832,0.0,0.015364899707621171,0.0,2.3283064365400003e-09,58.19115816289439,46028.0174608286,0.0
24,2017-11-05 20:00:00,-4.626260494963299e-05,5.351200092107655e-12,0.0,59.44937592751145,-8.021750398920425,5.230326735715241e-09,-1.279208976576701,-4.179309073817886e-07,0.0010986973539892704,4.791821542451541e-06,5153.609448831116,27317.809471553628,-2.8150701701361577e-09,1.9205036224663525,3.226183757219502e-08,0.9599017645584051,287.5671722382122,0.5650775003047295,-8.351563564376012e-09,-1.6133946701488991e-10,1.0,1974.0034787152208,0.0,-0.046551848682305,0.0,2.3283064365400003e-09,56.089135980228974,7528.584482533177,0.0
25,2017-11-05 21:00:00,-4.6232654706305934e-05,5.369824802682473e-12,0.0,60.53633667337285,-8.30120953410485,5.2061654720412765e-09,-0.23068411986955684,-3.88331683126424e-07,0.0010988763543715743,4.722203517093088e-06,5152.357724629315,29014.586398077066,-2.2799058509263634e-08,1.9200130905504058,4.060794947734671e-08,0.9596298609364675,289.61584565487885,0.5648398673187202,-8.331955728774168e-09,-1.7022450320594572e-10,1.0,1973.5793269401747,0.0,-0.045367061350945675,0.0,2.3283064365400003e-09,55.17729596280911,-18042.22055364826,0.0
